# Default categories for senior races
# Long name, Short name, Gender, Minimum age, Maximum age
Women Junior,FU20,Female,13,19
Men Junior,MU20,Male,13,19
Women Senior,FS,Female,20,39
Men Senior,MS,Male,20,39
Women 40-49,F40,Female,40,49
Men 40-49,M40,Male,40,49
Women 50-59,F50,Female,50,59
Men 50-59,M50,Male,50,59
Women 60-69,F60,Female,60,69
Men 60-69,M60,Male,60,69
Women 70-79,F70,Female,70,79
Men 70-79,M70,Male,70,79
Women 80-89,F80,Female,80,89
Men 80-89,M80,Male,80,89
Women 90-99,F90,Female,90,99
Men 90-99,M90,Male,90,99
Non-Binary Junior,NBJ,Non-Binary,13,19
Non-Binary Senior,NBS,Non-Binary,20,39
Non-Binary 40-49,NB40,Non-Binary,40,49
Non-Binary 50-59,NB50,Non-Binary,50,59
Non-Binary 60-69,NB60,Non-Binary,60,69
Non-Binary 70-79,NB70,Non-Binary,70,79
Non-Binary 80-89,NB80,Non-Binary,80,89
Non-Binary 90-99,NB90,Non-Binary,90,99
