# Default prize categories for junior races
# Long name, Short name, Gender, Minimum age, Maximum age, Number of prizes, Category group
Female Under 9,FU9,Female,7,8,3,Under 9
Male Under 9,MU9,Male,7,8,3,Under 9
Female Under 11,FU11,Female,9,10,3,Under 11
Male Under 11,MU11,Male,9,10,3,Under 11
Female Under 13,FU13,Female,11,12,3,Under 13
Male Under 13,MU13,Male,11,12,3,Under 13
Female Under 15,FU15,Female,13,14,3,Under 15
Male Under 15,MU15,Male,13,14,3,Under 15
Female Under 18,FU18,Female,15,17,3,Under 18
Male Under 18,MU18,Male,15,17,3,Under 18
