# Alternative club name, Canonical club name
,Unatt.
Unattached,Unatt.
U/A,Unatt.
None,Unatt.
Anster Haddies RC,Anster Haddies
Haddies,Anster Haddies
Bellahouston RR,Bellahouston Road Runners
Carnegie H,Carnegie Harriers
Dundee Hawkhill,Dundee Hawkhill Harriers
DHH,Dundee Hawkhill Harriers
Dundee HH,Dundee Hawkhill Harriers
Dundee Hawkhill H,Dundee Hawkhill Harriers
Dundee Road Runners AC,Dundee Road Runners
Dundee RR,Dundee Road Runners
DRR,Dundee Road Runners
East Fife Tri,East Fife Triathlon Club
East Fife Triathlon,East Fife Triathlon Club
East Fife Tri Club,East Fife Triathlon Club
Falkland TR,Falkland Trail Runners
Falkland Trail R,Falkland Trail Runners
FTR,Falkland Trail Runners
Fife Athletic Club,Fife AC
Leven Las Vegas,Leven Las Vegas RC
Leven Las Vegas Running Club,Leven Las Vegas RC
Kinross RR,Kinross Road Runners
Perth RR,Perth Road Runners
PH Racing Club,PH Racing
Recreational Running,Recreational Runners
RunSum Kirkcaldy,RunSum Running Kirkcaldy
RunSum Running Group,RunSum Running Kirkcaldy
Run Sum Kirkcaldy,RunSum Running Kirkcaldy
Run Sum Running,RunSum Running Kirkcaldy
