Female 80-89,F80,Female,80,89,1,Overall
Male 80-89,M80,Male,80,89,1,Overall
Female 70-79,F70,Female,70,79,1,Overall
Male 70-79,M70,Male,70,79,1,Overall
Female 60-69,F60,Female,60,69,1,Overall
Male 60-69,M60,Male,60,69,1,Overall
Female 50-59,F50,Female,50,59,1,Overall
Male 50-59,M50,Male,50,59,1,Overall
Female 40-49,F40,Female,40,49,1,Overall
Male 40-49,M40,Male,40,49,1,Overall
Female Senior,FS,Female,20,39,1,Overall
Male Senior,MS,Male,20,39,1,Overall
Female Junior,FU20,Female,13,19,1,Overall
Male Junior,MU20,Male,13,19,1,Overall
Female Open,FO,Female,13,99,3,Overall
Male Open,MO,Male,13,99,3,Overall
